Svid,time,A,P,X,Y,Z,x,y,z,lat_bot,long_bot,lat_top,long_top,x_bot_ECEF,y_bot_ECEF,z_bot_ECEF,x_top_ECEF,y_top_ECEF,z_top_ECEF
24,255149.4465238,-7.36312036964729e+21,24027635.1316669,14784222.8502315,-20712406.7813334,6696413.9303245,-2859888.99679374,-3984194.24681119,3439372.53705913,0.612308327923181,-2.14484194496653,0.571984994870044,-1.7262528460491,-2684238.35196123,-4150726.93171249,3471797.0323204,-913598.062124664,-5829453.93975784,3798651.04268837
32,255149.4465238,-7.35186623929952e+21,22430196.0782731,-16690185.6729379,-20245114.0257734,-4537905.60913387,-2859888.99679374,-3984194.24681119,3439372.53705913,0.599601311896016,-2.19473267079701,0.425732661260528,-2.21234118624735,-2913309.6067622,-4047003.32991196,3408559.67205438,-3813225.74110541,-5105076.37136667,2889490.45177616
8,255150.4465238,-7.40345314534516e+21,23527884.2941172,-13387854.0906254,6948245.32998629,21881127.1011592,-2863276.46445736,-4018388.95569918,3473754.26190782,0.629440050386809,-2.20772020160497,0.808521940629294,-2.46396303840849,-2925066.54021347,-3954003.55351286,3581824.43846106,-3791486.07430018,-3051192.39036668,5097182.86571905
10,255150.4465238,-7.31246896122658e+21,20752239.5487434,-15580037.1114529,-11909168.4603766,18113863.1410672,-2863276.46445736,-4018388.95569918,3473754.26190782,0.615095169839783,-2.19283819389286,0.641572889131393,-2.24146570844726,-2895509.33079415,-4038389.52409294,3510862.1925953,-3502771.27621565,-4415196.97104561,4209969.55538438
24,255150.4465238,-7.35749174009293e+21,24027347.8908397,14784200.7425432,-20711441.3622128,6699396.73717703,-2863276.46445736,-4018388.95569918,3473754.26190782,0.614031048765321,-2.14193663505476,0.573414563552824,-1.72636210466385,-2688415.49553633,-4183792.95559185,3505715.71237479,-918696.35013008,-5857800.75243196,3829188.64721757
32,255150.4465238,-7.34905036014187e+21,22429580.4987292,-16690267.0598693,-20245755.3511093,-4534818.05551742,-2863276.46445736,-4018388.95569918,3473754.26190782,0.601426574662926,-2.19131982891031,0.427562114975307,-2.20982618511571,-2917017.60959608,-4081459.603405,3442627.47084691,-3820797.02142595,-5142135.78996855,2919159.78431783
10,255151.4465238,-7.28526756863659e+21,20752155.3280494,-15577772.2622644,-11909388.451199,18115651.0688368,-2859155.9455131,-3982875.28329481,3438020.56193373,0.613247474567996,-2.19633272784705,0.640103231545027,-2.24452094372565,-2891303.74208991,-4002910.47631731,3475119.99696771,-3497038.72102203,-4380417.44462187,4174154.70203722
24,255151.4465238,-7.35749174008128e+21,24027065.6748397,14784178.5308643,-20710475.5969035,6702379.39743634,-2859155.9455131,-3982875.28329481,3438020.56193373,0.612278270299631,-2.14489429383848,0.57205013365841,-1.72626662431092,-2683622.43593643,-4149298.15499034,3470497.66333883,-913396.765716986,-5827644.58751804,3798023.72226785
32,255151.4465238,-7.36218174326141e+21,22428979.1984856,-16690348.2766757,-20246396.3447716,-4531730.40615337,-2859155.9455131,-3982875.28329481,3438020.56193373,0.599566150309137,-2.1947665516107,0.425763921431402,-2.21235809163583,-2912550.3881815,-4045659.57709331,3407253.84269809,-3812180.25708149,-5103496.74471217,2888872.9361994
8,255152.4465238,-7.43909591787456e+21,23526901.7389217,-13390870.5727328,6943594.1116778,21880808.014329,-2859749.70227522,-3987894.42246063,3440223.56579498,0.627463868146796,-2.21072871495333,0.807026948861507,-2.46707976903884,-2921232.68803213,-3924074.00276231,3547883.72893858,-3785480.90954154,-3026969.16080932,5061230.93188899
10,255152.4465238,-7.30027620450459e+21,20752104.4201683,-15575507.2017084,-11909608.5862276,18117438.6170886,-2859749.70227522,-3987894.42246063,3440223.56579498,0.613126774180643,-2.19583684964579,0.640019014478279,-2.24406809125292,-2891902.61673526,-4007925.17547679,3477336.19868979,-3497715.88443275,-4385337.1812917,4176598.63832969
