Svid,time,A,P,X,Y,Z,x,y,z,lat_bot,long_bot,lat_top,long_top,x_bot_ECEF,y_bot_ECEF,z_bot_ECEF,x_top_ECEF,y_top_ECEF,z_top_ECEF
11,309600,7.67283246179002e+17,21240540.4508544,11757262.3837212,-23989211.3909809,422473.951039592,5002034.48774052,-4061967.95151517,-488438.192572227,-0.0746795147009589,-0.686925976257033,-0.0587755739002845,-0.764957381293219,5021101.14233427,-4118212.66649984,-485867.139829826,5373721.14337832,-5158406.23370878,-438317.916328047
27,309600,1.64965898571615e+19,23725811.4733705,12854619.318513,-9747346.93256206,20886534.5186148,5002034.48774052,-4061967.95151517,-488438.192572227,-0.0551768699063556,-0.681554012414995,0.194614991767122,-0.6754278925341,5049537.69649808,-4096360.92534771,-359133.025831748,5711403.96004135,-4575561.16630108,1442486.90271105
8,309600,1.68035031499164e+19,22938350.8897123,7624323.65782844,-20111355.3113328,15424304.9842496,5002034.48774052,-4061967.95151517,-488438.192572227,-0.0639974326685548,-0.689573335632497,0.0985921476334137,-0.794132476146563,5013893.9925415,-4134552.54234435,-416471.585588138,5203537.092864,-5295239.01884399,734332.828017773
31,309600,1.99493644578211e+18,22498224.8562216,22181222.8232709,-3601234.5463339,-14544684.0519233,5002034.48774052,-4061967.95151517,-488438.192572227,-0.0827255906690657,-0.675962807171456,-0.189099085091876,-0.58261573669112,5062731.46683399,-4060340.10243897,-538101.287498151,6119175.89271463,-4032007.02707975,-1402498.50446135
3,309600,1.70336881337743e+19,24243183.9969687,1329233.19423049,-15560563.5826582,-21554223.4128687,5002034.48774052,-4061967.95151517,-488438.192572227,-0.10077611377555,-0.695784658662907,-0.359068414732377,-0.845746250131397,4972968.67821123,-4152965.52087992,-655148.572978582,4630288.68192179,-5225808.3983796,-2620630.12894548
14,309600,1.45783816916928e+18,24475764.7726234,15101542.5658509,3173021.97734729,-21286943.0720096,5002034.48774052,-4061967.95151517,-488438.192572227,-0.105568702877778,-0.664458542406659,-0.379301176635385,-0.491882260659584,5098060.63763785,-3993177.6478646,-686190.432755287,6105579.78729229,-3271420.62321456,-2761033.2655099
16,309600,7.059005890572e+18,23185029.7158609,19775743.7659125,-3037004.62811655,17474121.4160279,5002034.48774052,-4061967.95151517,-488438.192572227,-0.0607012421279498,-0.673967620083041,0.135189594612553,-0.568070719186318,5078845.32716537,-4056639.00590188,-395048.018461114,6230674.41489038,-3976727.95935881,1005399.10403296
4,309600,9.74449725934439e+18,22972621.5538514,809618.969039118,-26049614.367871,-5022359.44834599,5002034.48774052,-4061967.95151517,-488438.192572227,-0.078232284152303,-0.695779643872744,-0.112335851810112,-0.887497263277919,4983081.64131463,-4161368.51997909,-508934.899753187,4680381.19114717,-5748918.8089866,-836292.719851056
1,309600,1.52689366575584e+19,21409877.5080034,11207127.7423394,-19919971.6091093,-13455572.6200182,5002034.48774052,-4061967.95151517,-488438.192572227,-0.0813949859939159,-0.686147483901538,-0.170912729377767,-0.750870938176413,5021667.1000312,-4112141.90132375,-529465.573191615,5375583.97196427,-5016627.10715676,-1269065.68332629
10,309600,2.08701043646693e+19,24914850.5512409,23809840.825895,11741155.1942027,2834542.06459521,5002034.48774052,-4061967.95151517,-488438.192572227,-0.0698028418172241,-0.643768514529825,-0.0160575054945418,-0.314815023056724,5195885.83227179,-3899085.76235864,-454188.36145843,7088926.25660222,-2308472.24754236,-119724.264850386
26,309600,2.23279425481304e+19,22984137.4638643,25333662.5568529,3549230.56444552,7523814.52194112,5002034.48774052,-4061967.95151517,-488438.192572227,-0.0692050319265417,-0.668335993304511,0.0193060029578696,-0.48256113361171,5098791.0713478,-4025746.86960979,-450308.525974978,6606924.91780701,-3461172.99215042,144014.243656021
22,309600,-3.68295959880933e+18,22644138.9038987,10945241.7824146,-12552385.7972695,-20453477.6441122,5002034.48774052,-4061967.95151517,-488438.192572227,-0.0883663018462467,-0.683947964473702,-0.268912598945254,-0.711645346495393,5027712.7780373,-4098651.74923154,-574699.373346247,5446675.0701411,-4697177.88927783,-1982121.03572975
11,309630,8.44011569367726e+17,21240828.9799399,11766757.5276809,-23980862.8217702,513831.08131854,5005711.01557163,-4063929.86457366,-488696.294977727,-0.0746321299330434,-0.686798334632574,-0.0580979154553746,-0.76475739229672,5024805.08489737,-4120177.85783322,-485865.028074051,5377907.02984776,-5160358.2133502,-433507.103039486
27,309630,1.71871447801518e+19,23737020.1551395,12868343.1294387,-9667791.91134207,20915824.8879042,5005711.01557163,-4063929.86457366,-488696.294977727,-0.0550486799830781,-0.681364476975372,0.195540447068072,-0.674442750681004,5053527.51629388,-4098009.68284903,-358524.962047679,5717870.07464842,-4571500.49291123,1450021.35641867
8,309630,1.67267748267277e+19,22946875.7806269,7639141.91118035,-20053873.2041984,15492469.0584233,5005711.01557163,-4063929.86457366,-488696.294977727,-0.0639146686283162,-0.68943264133794,0.0995315330278732,-0.793637664286852,5017657.94752779,-4136470.50552225,-416195.476605949,5208460.54339992,-5295005.82237303,741703.840051762
31,309630,1.61129482983849e+18,22512873.8707943,22140373.7424456,-3564262.10748451,-14614712.687781,5005711.01557163,-4063929.86457366,-488696.294977727,-0.0827792518750773,-0.67582080390904,-0.189978115830149,-0.582263182686244,5066472.0630159,-4062157.99799077,-538788.413271679,6122878.94529206,-4031351.87908114,-1409702.60483604
3,309630,1.77242430567646e+19,24231277.6987377,1405309.04639243,-15530947.0868896,-21570488.9711573,5005711.01557163,-4063929.86457366,-488696.294977727,-0.100636355682823,-0.695495785027775,-0.358517978567389,-0.844146195164516,4977368.21428413,-4154199.61591661,-654654.725653036,4642035.92023522,-5222208.47269828,-2618159.34577145
14,309630,-2.30184969566171e+17,24488986.1527437,15105179.5057391,3256436.39082574,-21272549.2491682,5005711.01557163,-4063929.86457366,-488696.294977727,-0.105805681048664,-0.664083881381852,-0.379964069771134,-0.490122606528692,5102634.92077371,-3993676.81257656,-688157.503795504,6112819.22072059,-3261468.0762193,-2767031.45316903
16,309630,6.13826599801555e+18,23178581.1068356,19833820.2671398,-3003200.71085142,17416076.9267462,5005711.01557163,-4063929.86457366,-488696.294977727,-0.0607853775433798,-0.673821601945576,0.134153407057801,-0.567496944859598,5082608.16902645,-4058429.02484258,-395843.857040707,6237167.70965737,-3975837.58019661,998273.6528359
4,309630,9.20739898273156e+18,22972431.2302533,820035.654485167,-26031233.2646747,-5114978.20223735,5005711.01557163,-4063929.86457366,-488696.294977727,-0.0782878634290397,-0.695638522587969,-0.113275675226768,-0.887130694243299,4986783.48109783,-4163265.54078676,-509616.242831132,4684506.30273933,-5749679.65920131,-843712.731588541
1,309630,1.51922083343697e+19,21396507.718918,11250539.0425917,-19946011.5275827,-13378303.0292655,5005711.01557163,-4063929.86457366,-488696.294977727,-0.0813304681235331,-0.686009551004104,-0.17003351875389,-0.750541318756169,5025421.57977157,-4114058.51325589,-529379.788574171,5380990.79114054,-5018355.51349023,-1263290.67956051
10,309630,1.97959078257354e+19,24920446.7840447,23797295.8469726,11743993.2776356,2928827.12876485,5005711.01557163,-4063929.86457366,-488696.294977727,-0.0696288633128707,-0.643540937332771,-0.0146162059940986,-0.314545021640948,5200104.18279926,-3900401.76013353,-453343.065945879,7093319.27647076,-2307784.69451914,-109034.324194958
26,309630,2.24813991945078e+19,22981317.4020352,25357454.4341601,3567182.34253145,7435740.48130464,5005711.01557163,-4063929.86457366,-488696.294977727,-0.0692718797054591,-0.668216965595737,0.0182811258166359,-0.482384512681987,5102455.6499367,-4027654.38953987,-451026.463813764,6611210.41046614,-3461930.0368985,136443.192461997
22,309630,-4.06660121475295e+18,22632362.9784714,11020479.3525651,-12525769.4147497,-20429206.3535143,5005711.01557163,-4063929.86457366,-488696.294977727,-0.0882948636678555,-0.683774085453561,-0.268169216780992,-0.710760767150396,5031621.8409381,-4100382.34862282,-574597.371278065,5454890.57454442,-4695855.3427121,-1977842.5117484
