Svid,time,A,P,X,Y,Z,x,y,z,lat_bot,long_bot,lat_top,long_top,x_bot_ECEF,y_bot_ECEF,z_bot_ECEF,x_top_ECEF,y_top_ECEF,z_top_ECEF
7,97200,6.33814327927904e+19,21486122.7370313,-19536364.2299496,15160186.5146354,-8994335.76834616,-5086055.72590133,3542942.62953843,1648425.65133584,0.252272411823167,2.53248377114201,0.133601056216606,2.52239516211856,-5133592.77312724,3581159.7700961,1613414.25679849,-5983408.79247479,4264364.55783174,987518.336167726
10,97200,7.66209052455546e+19,22910010.5327248,-1198893.74688107,22531701.8930844,13854254.2619873,-5086055.72590133,3542942.62953843,1648425.65133584,0.267011931693123,2.51980197401523,0.359019031071671,2.33082771322632,-5067881.43773289,3631723.90098514,1705493.57073353,-4781541.14206666,5030494.25611942,2604612.41169991
8,97200,6.59479952599057e+19,22321297.6589395,-25672186.3904624,600335.386286871,-7246747.00076433,-5086055.72590133,3542942.62953843,1648425.65133584,0.252192300929936,2.54219805868653,0.137941954063311,2.67016222084815,-5168244.01414989,3531194.53290719,1612912.46889937,-6541899.13800572,3334842.55287501,1019362.38946776
24,97200,7.11233207583129e+19,22216948.9657527,-8393087.8853204,13111645.7917852,21793418.9229593,-5086055.72590133,3542942.62953843,1648425.65133584,0.270112885854755,2.52952379188305,0.420016833714645,2.47302547562784,-5098596.68317073,3579229.15222601,1724819.67704624,-5311705.58485864,4195847.23248148,3022985.88277803
19,97200,9.81969102150021e+19,24020622.8435517,-21494470.2631419,-10456645.0664844,11938872.5963204,-5086055.72590133,3542942.62953843,1648425.65133584,0.267965930127727,2.55365323819704,0.354967286978274,2.80726718254715,-5186533.36527267,3457215.54599383,1711439.65032772,-6565551.81058253,2280643.02488082,2576283.48489863
27,97200,7.20632427566771e+19,22745063.2950494,-26592057.3807685,-3921872.0085356,1295878.42937818,-5086055.72590133,3542942.62953843,1648425.65133584,0.25765220645339,2.54453341936911,0.220872852815297,2.70962039853222,-5169116.76632955,3514111.82777469,1647064.03426141,-6568790.33609143,3028279.82981615,1624119.22859339
4,97200,5.71319107125741e+19,21044250.9910219,-19258443.6425976,8085686.78172381,16620175.9914603,-5086055.72590133,3542942.62953843,1648425.65133584,0.264671416816106,2.53514123917911,0.340421477756571,2.5677230618862,-5126259.60651915,3555829.3741467,1690897.14356793,-5868810.39058925,3793842.77399594,2475329.87426281
13,97200,4.96086984588498e+19,20441077.0821941,-19456814.4117416,16497507.7080166,7205785.0708843,-5086055.72590133,3542942.62953843,1648425.65133584,0.260095612206101,2.53218501687476,0.262838401622436,2.5162817586137,-5122016.59888196,3575359.67024523,1662332.18894898,-5804581.06594095,4190659.53033439,1926288.75195195
7,97230,6.32011212211489e+19,21501366.0066805,-19522157.4046845,15125694.4787251,-9080586.24540333,-5089555.49293129,3544981.10816586,1650485.89842151,0.252356650337358,2.53254443482971,0.132793094211569,2.52258428756739,-5137217.44395155,3583225.03651794,1615047.80915381,-5988407.12729731,4266219.26078023,982162.764869158
10,97230,7.12767774189821e+19,22907455.9499236,-1223915.26724549,22484547.9330922,13929053.7891876,-5089555.49293129,3544981.10816586,1650485.89842151,0.267201680256755,2.51991346075679,0.359855350179377,2.33162933529762,-5071496.79973325,3633459.03332881,1707846.35555286,-4786862.44418418,5028014.93684287,2611940.38774742
8,97230,6.66423865926241e+19,22311639.9501627,-25696845.7971853,587984.796624036,-7157234.75983054,-5089555.49293129,3544981.10816586,1650485.89842151,0.252413662988202,2.54223866197853,0.139108569489959,2.67017569620181,-5171634.85622473,3533203.31637815,1615404.52221813,-6544729.42645148,3336174.23008821,1028532.92321788
24,97230,7.27998346678639e+19,22202736.8032696,-8472297.90038346,13095756.155736,21771869.764097,-5089555.49293129,3544981.10816586,1650485.89842151,0.270197355603712,2.52962637576186,0.419359726258685,2.4738473383496,-5102339.53143768,3581075.33624099,1726528.50384543,-5319847.25797374,4195182.80202907,3020317.95992133
19,97230,9.35203188101757e+19,24027559.1637939,-21448847.7500187,-10462510.0042079,12015428.5386555,-5089555.49293129,3544981.10816586,1650485.89842151,0.268207534678482,2.55372461208869,0.356191604197924,2.80735657034425,-5189990.22402888,3458984.80825786,1714119.47196213,-6566538.6811432,2280328.05613419,2586274.91580849
27,97230,7.12077219152497e+19,22743245.1817467,-26586784.71184,-3930011.89838824,1388422.58372381,-5089555.49293129,3544981.10816586,1650485.89842151,0.257857111242196,2.54457121654037,0.221888777833839,2.70954224929562,-5172513.37628631,3516135.08379674,1649474.59516606,-6570917.97869499,3029883.36656875,1632427.25656888
4,97230,5.92304304068089e+19,21037518.7905088,-19319185.2674596,8071096.52726036,16556937.8824918,-5089555.49293129,3544981.10816586,1650485.89842151,0.264778060156964,2.53521112220644,0.339884346718107,2.56807795444701,-5129873.85740027,3557805.44541055,1692721.97719208,-5874769.45549021,3794739.4700867,2473048.00408205
13,97230,4.91560013391737e+19,20443745.44159,-19445830.80263,16471050.4416468,7296166.38157948,-5089555.49293129,3544981.10816586,1650485.89842151,0.260278793947521,2.53224389917175,0.263590722291959,2.51643586602007,-5125488.33556811,3577334.2363452,1664616.67705335,-5807518.32676668,4191418.79265001,1932828.54448924
7,97260,6.38264570787184e+19,21516664.6237269,-19507811.1466,15090914.5399377,-9166657.8738076,-5093041.14342635,3547030.12438389,1652512.48446953,0.252435488646025,2.53260249721028,0.131977436713539,2.52277308473961,-5140829.00409407,3585300.42213358,1616644.75952436,-5993395.89820041,4268067.72816235,976740.933994519
10,97260,7.34903895908542e+19,22904903.0470386,-1249125.78315474,22437176.981666,14003584.1044088,-5093041.14342635,3547030.12438389,1652512.48446953,0.267386120999332,2.52002225987086,0.36068340803559,2.33243089861011,-5075098.80053812,3635204.15017686,1710163.90008928,-4792183.95995134,5025532.08039724,2619211.35065127
8,97260,6.73674692603347e+19,22302028.7140202,-25721196.6688793,575733.142737696,-7067587.32428379,-5093041.14342635,3547030.12438389,1652512.48446953,0.252629662987525,2.542276492549,0.140268122484499,2.67018523924638,-5175011.48311614,3535223.04727493,1617861.32321712,-6547531.85933414,3337524.05057731,1037658.47108132
24,97260,7.34673711039018e+19,22188529.726313,-8551459.45991825,13080031.1664527,21749914.0699111,-5093041.14342635,3547030.12438389,1652512.48446953,0.270277167789391,2.52972569889584,0.418699465590032,2.47466029785306,-5106066.57670626,3582934.24518924,1728205.28374784,-5327952.24628718,4194553.8139523,3017617.08982042
19,97260,9.47057714313104e+19,24034567.307164,-21402950.3105709,-10468428.4646995,12091758.4769007,-5093041.14342635,3547030.12438389,1652512.48446953,0.26844478628086,2.55379419150455,0.357414103539853,2.80744879851337,-5193435.45332864,3460759.11707199,1716770.4080772,-6567510.36176445,2279986.75469272,2596254.5201092
27,97260,7.18215485150512e+19,22741493.3574302,-26581185.4620881,-3938122.02778579,1480941.16310193,-5093041.14342635,3547030.12438389,1652512.48446953,0.258056843528545,2.54460640283709,0.222898659459387,2.70946242219892,-5175896.33286529,3518168.45581214,1651850.93016668,-6573029.03145428,3031493.07469848,1640695.5740006
4,97260,5.94145783881786e+19,21030834.7373139,-19379718.4995886,8056657.98554407,16493387.453893,-5093041.14342635,3547030.12438389,1652512.48446953,0.264879803342891,2.53527811868432,0.339343847364531,2.56842788823324,-5133473.6911188,3559792.76604129,1694513.45992657,-5880707.02947235,3795658.96483757,2470732.8894713
13,97260,4.87109770675375e+19,20446514.2838944,-19434682.1298611,16444306.3792613,7386407.13230689,-5093041.14342635,3547030.12438389,1652512.48446953,0.260456928625092,2.53230008580885,0.264338095170329,2.51658845407128,-5128946.06213897,3579319.01349941,1666867.53780213,-5810441.79906278,4192180.45619911,1939334.59803377
7,97290,6.20310142818021e+19,21532020.3371275,-19493326.896426,15055846.5841515,-9252548.94301239,-5096519.2923045,3549091.17403923,1654508.44148824,0.252509137977157,2.53265837198223,0.131154285340901,2.52296191382312,-5144434.09149028,3587387.43317641,1618208.06999918,-5998381.8275707,4269911.50394911,971255.133146219
10,97290,7.5354887891503e+19,22902357.4018149,-1274525.87504346,22389590.5712947,14077843.7769527,-5096519.2923045,3549091.17403923,1654508.44148824,0.267565469124494,2.52012878070187,0.36150337323633,2.33323275476647,-5078694.00482186,3636960.84868489,1712449.28535463,-4797511.5855197,5023048.32268625,2626428.74687114
8,97290,6.58904490139412e+19,22292465.2771254,-25745238.1933199,563579.244888825,-6977806.37709203,-5096519.2923045,3549091.17403923,1654508.44148824,0.252840520502912,2.54231195759542,0.141420848875241,2.67019113195949,-5178380.52296253,3537255.20097785,1620285.88667193,-6550313.22287017,3338893.18824473,1046741.58921311
24,97290,7.30108375744976e+19,22174327.8912546,-8630570.73790615,13064470.816134,21727552.2335069,-5096519.2923045,3549091.17403923,1654508.44148824,0.270352526119332,2.52982218214839,0.418036157438419,2.47546478497758,-5109784.43216035,3584807.36087942,1729853.05300069,-5336026.89933447,4193961.75477064,3014886.6811479
19,97290,9.69846026828951e+19,24041648.9250017,-21356778.8229655,-10474401.5651102,12167860.9744247,-5096519.2923045,3549091.17403923,1654508.44148824,0.268677901481768,2.55386237356785,0.358634911529364,2.8075439939236,-5196875.62147667,3462539.89539451,1719395.56493846,-6568472.66561234,2279620.20378652,2606225.39880063
27,97290,6.99762323059184e+19,22739809.1909253,-26575259.6127651,-3946203.71996829,1573432.46605882,-5096519.2923045,3549091.17403923,1654508.44148824,0.258251620118366,2.54463938042636,0.2239027106438,2.70938114363076,-5179272.23644893,3520213.42280915,1654196.07327828,-6575129.93683885,3033110.13190865,1648927.11788652
4,97290,5.99785315757637e+19,21024198.5730919,-19440041.8314538,8042370.44752319,16429525.9101575,-5096519.2923045,3549091.17403923,1654508.44148824,0.264976854159062,2.53534264101895,0.33880008801669,2.56877320998803,-5137065.71297303,3561792.82324058,1696274.61657072,-5886629.54820664,3796602.62228511,2468387.51486552
13,97290,4.93132944238629e+19,20449382.5792151,-19423369.8198227,16417275.1968133,7476505.58850478,-5096519.2923045,3549091.17403923,1654508.44148824,0.260630230608972,2.53235399018702,0.265080709082217,2.51673988304104,-5132396.39487288,3581315.50395509,1669087.80688297,-5813358.11503517,4192946.14187388,1945809.97861202
7,97320,6.09568177142846e+19,21547430.3799313,-19478706.0976817,15020490.5081266,-9338257.74583532,-5099988.98418476,3551166.50652237,1656469.20090107,0.252576910289503,2.53271168671698,0.130323115440917,2.52315050728778,-5148031.72860381,3589488.27037091,1619733.17970461,-6003363.49498996,4271751.99947222,965701.31121072
10,97320,7.6444430097933e+19,22899817.8688283,-1300116.11391256,22341790.2401295,14151831.3815038,-5099988.98418476,3551166.50652237,1656469.20090107,0.267739037350171,2.52023264641879,0.362314676304347,2.33403459107504,-5082281.4623622,3638731.37808044,1714697.96434861,-4802844.46561852,5020565.88737118,2633588.30625684
8,97320,6.70874108785521e+19,22282947.2388583,-25768969.5676202,551521.918459871,-6887893.60398006,-5099988.98418476,3551166.50652237,1656469.20090107,0.253045551551636,2.5423446811684,0.142566203928748,2.67019308049853,-5181741.01345845,3539302.01077794,1622673.67841122,-6553072.56107217,3340283.61997566,1055778.07263659
24,97320,6.88137981860278e+19,22160132.8922808,-8709629.90888311,13049075.0866116,21704784.6554133,-5099988.98418476,3551166.50652237,1656469.20090107,0.270422746727903,2.52991545224745,0.417369328364188,2.47626049971502,-5113492.17298843,3586696.92505219,1731467.2947351,-5344070.54284389,4193408.87317102,3012123.18053789
19,97320,9.36737754565532e+19,24048810.5049648,-21310334.1739613,-10480430.4178968,12243734.5987841,-5099988.98418476,3551166.50652237,1656469.20090107,0.26890622765505,2.55392882686668,0.35985364028824,2.8076420699899,-5200309.96826305,3464329.14462983,1721990.62385531,-6569425.75656064,2279229.09528813,2616184.55010681
27,97320,7.11386664401007e+19,22738190.9675698,-26569007.1549884,-3954258.29859094,1665894.79184768,-5099988.98418476,3551166.50652237,1656469.20090107,0.258440755811745,2.54466977763692,0.224900392677185,2.70929815749393,-5182640.16721256,3522272.20710292,1656505.48743435,-6577220.21789157,3034736.37189102,1657117.75302542
4,97320,5.82789991792603e+19,21017611.7398493,-19500153.761539,8028233.19538563,16365354.4615167,-5099988.98418476,3551166.50652237,1656469.20090107,0.265068525650093,2.53540431460158,0.338252528965637,2.56911363160524,-5140648.99181394,3563807.85948882,1698000.90530586,-5892536.43101569,3797572.56009271,2466007.81655375
13,97320,4.921354759943e+19,20452350.884404,-19411895.3026994,16389956.5806706,7566460.01845862,-5099988.98418476,3551166.50652237,1656469.20090107,0.260798011915246,2.53240523644529,0.265818002619258,2.51688985081716,-5135838.38301063,3583325.94744984,1671272.93236497,-5816266.40938054,4193717.91038696,1952250.41351664
7,97350,6.10604009627374e+19,21562893.5271967,-19463950.1966071,14984846.2195185,-9423782.57849612,-4808646.1682537,3474824.74909864,1472377.21228885,0.235381976776277,2.51544493322763,0.113755090381812,2.50941168200307,-4855908.54232393,3511943.79754956,1437237.8266463,-5702758.35836775,4177044.94768793,807608.383506938
10,97350,7.44916942306193e+19,22897285.6276037,-1325897.06129656,22293777.5319186,14225545.4981567,-4808646.1682537,3474824.74909864,1472377.21228885,0.250798335612671,2.50288132104268,0.350161048839866,2.31791399080012,-4793058.77914799,3559050.83905781,1529455.28202558,-4543831.78600703,4905743.02735087,2442077.3766112
8,97350,6.52229125779033e+19,22273478.881082,-25792389.9982661,539559.974012123,-6797850.69339995,-4808646.1682537,3474824.74909864,1472377.21228885,0.235917877158947,2.52529689164066,0.127112385943252,2.65959477670431,-4889650.30002241,3463493.66459135,1440451.42075915,-6255276.85326246,3272466.00288709,902223.213207266
24,97350,6.87102149518668e+19,22145941.8000155,-8788635.14800837,13033843.9493536,21681611.7435771,-4808646.1682537,3474824.74909864,1472377.21228885,0.253749837135279,2.51249025733064,0.407919147626474,2.46039630513369,-4823355.29090913,3510152.68256716,1547065.88881669,-5074662.21965801,4113734.19228674,2823129.89006345
26,97350,9.5093249471274e+19,24419572.8020455,-1801626.44905623,20633996.8355235,-16329994.8786218,-4808646.1682537,3474824.74909864,1472377.21228885,0.201615552400113,2.48111708487181,-0.094180437610225,2.24706687516757,-4768410.90622768,3704422.10778544,1234173.55130533,-4446591.4356988,5540843.61187886,-671084.9755606
19,97350,9.60254986215984e+19,24056043.1464337,-21263617.2588766,-10486516.1307691,12319377.9217491,-4808646.1682537,3474824.74909864,1472377.21228885,0.25276477956249,2.53812965360787,0.353118530455957,2.80639323285103,-4913054.98305444,3386238.32459091,1541202.7654898,-6312452.29143286,2198909.41705038,2463675.58620764
